[AXUM] 2023-04-25 03:59:32 |304|    9ms |   192.168.1.216 | GET   /assets/index-e0b96a67.css
[AXUM] 2023-04-25 03:59:32 |304|   14ms |   192.168.1.216 | GET   /assets/index-245bfb5e.js
[AXUM] 2023-04-25 03:59:32 |304|    3ms |   192.168.1.216 | GET   /assets/video-d6b99e6c.css
[AXUM] 2023-04-25 03:59:32 |304|   14ms |   192.168.1.216 | GET   /assets/video-a15dbd40.js
[AXUM] 2023-04-25 03:59:32 |304|   61ms |   192.168.1.216 | GET   /assets/video-4f1fd7ce.js
[AXUM] 2023-04-25 03:59:33 |200|    1ms |   192.168.1.216 | POST  /items
[AXUM] 2023-04-25 03:59:33 |206|    4ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 03:59:33 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 03:59:33 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 03:59:36 |206|    3ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:36 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:36 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:42 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:42 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:43 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:43 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:45 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:45 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:45 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:45 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:45 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:46 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:46 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 03:59:48 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 03:59:48 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 03:59:48 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 03:59:51 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 03:59:51 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 03:59:52 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 04:03:15 |206|   52ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 04:03:15 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 04:03:15 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
