[AXUM] 2023-04-25 19:19:55 |200|    0ms |       127.0.0.1 | GET   /list
[AXUM] 2023-04-25 19:19:58 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:20:12 |206|    7ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-25 19:20:12 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-25 19:20:15 |206|    4ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-2 详解URL与URI的区别与联系.mp4
[AXUM] 2023-04-25 19:20:15 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-2 详解URL与URI的区别与联系.mp4
[AXUM] 2023-04-25 19:20:15 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-2 详解URL与URI的区别与联系.mp4
[AXUM] 2023-04-25 19:20:24 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:20:24 |206|    5ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 19:20:24 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-25 19:20:24 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-25 19:20:38 |206|    7ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-4 HTTP请求方法剖析.mp4
[AXUM] 2023-04-25 19:20:38 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-4 HTTP请求方法剖析.mp4
[AXUM] 2023-04-25 19:20:38 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-4 HTTP请求方法剖析.mp4
[AXUM] 2023-04-25 19:20:49 |200|    0ms |       127.0.0.1 | GET   /list
[AXUM] 2023-04-25 19:20:51 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:20:51 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-4 HTTP请求方法剖析.mp4
[AXUM] 2023-04-25 19:20:51 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-4 HTTP请求方法剖析.mp4
[AXUM] 2023-04-25 19:20:57 |200|    2ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:20:57 |206|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 19:20:57 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-4 HTTP请求方法剖析.mp4
[AXUM] 2023-04-25 19:20:57 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-4 HTTP请求方法剖析.mp4
[AXUM] 2023-04-25 19:21:08 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:21:08 |206|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 19:21:08 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-4 HTTP请求方法剖析.mp4
[AXUM] 2023-04-25 19:21:29 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:21:29 |206|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 19:21:29 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-4 HTTP请求方法剖析.mp4
[AXUM] 2023-04-25 19:21:43 |200|    0ms |       127.0.0.1 | GET   /list
[AXUM] 2023-04-25 19:21:44 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:21:44 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-4 HTTP请求方法剖析.mp4
[AXUM] 2023-04-25 19:21:59 |206|    3ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:21:59 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:21:59 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:21:59 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:22:38 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:22:38 |206|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 19:22:38 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
